Date,Time,X,Y   S,peed  Te,mperature,Diameter,EnergyA,EnergyB
12/6/2021,08:12.5,-17.07,32.75,201,3267,16,625900.5,562604.7
12/6/2021,08:12.5,-17.07,32.75,169,3353,29,2495190.8,2164816.2
12/6/2021,08:12.5,-17.07,32.75,192,3379,23,1621001.4,1383501.4
12/6/2021,08:12.6,-17.07,32.75,142,2808,20,486972.3,518993.4
12/6/2021,08:12.6,-17.07,32.75,173,3209,44,4538932.9,4259336.9
12/6/2021,08:12.6,-17.07,32.75,173,3407,19,1185112.5,1035520.9
12/6/2021,08:12.7,-17.07,32.75,154,3275,14,512479.8,448616.2
12/6/2021,08:12.7,-17.07,32.75,166,3390,15,691289,630138.5
12/6/2021,08:12.7,-17.07,32.75,169,3411,18,1056720,891338.8
12/6/2021,08:12.7,-17.07,32.75,60,2923,23,787871.5,810921.9
12/6/2021,08:12.7,-17.07,32.75,139,3018,32,1717265.6,1708461
12/6/2021,08:12.8,-17.07,32.75,72,3432,16,851105.6,719216.4
12/6/2021,08:12.8,-17.07,32.75,176,3319,12,390804.5,353093.9
12/6/2021,08:12.9,-17.07,32.75,196,3851,11,699682.8,540810.7
12/6/2021,08:12.9,-17.07,32.75,160,3120,64,8371605.8,8022386.7
12/6/2021,08:12.9,-17.07,32.75,163,3298,15,666849.1,565639.6
12/6/2021,08:13.0,-17.07,32.75,169,3174,31,2046541.1,1945561.4
12/6/2021,08:13.2,-17.07,32.75,127,3146,42,3811235.9,3561199.1
12/6/2021,08:13.3,-17.07,32.75,173,3652,19,1656139.4,1322041.5
12/6/2021,08:13.5,-17.07,32.75,73,3154,28,1779673.6,1646781.6
12/6/2021,08:13.1,-17.07,32.75,160,3151,24,1254789.7,1167266.2
12/6/2021,08:13.2,-17.07,32.75,146,3153,20,856101.4,808816.4
12/6/2021,08:13.2,-17.07,32.75,129,2791,21,516398.5,543680.6
12/6/2021,08:13.2,-17.07,32.75,166,3379,16,747526.2,660455.7
12/6/2021,08:13.3,-17.07,32.75,184,3688,11,592673.8,475491.8
12/6/2021,08:13.3,-17.07,32.75,157,3280,22,1266539.7,1150856.2
12/6/2021,08:13.3,-17.07,32.75,142,2997,48,3840779.5,3897387.7
12/6/2021,08:13.3,-17.07,32.75,176,3096,20,789255.7,768557.1
12/6/2021,08:13.3,-17.07,32.75,180,3365,18,977229.6,845709.4
12/6/2021,08:13.3,-17.07,32.75,152,3004,36,2183303.9,2160104.1
12/6/2021,08:13.3,-17.07,32.75,154,3170,36,2751841.3,2653049.6
